ID No.,Nickname,PCE,Voc (V),Jsc (mA cm^2),FF,Mw (kg mol^-1),Mn (kg mol^-1),PDI (=Mw/Mn),Monomer (g mol^-1),-HOMO (eV),-LUMO (eV),bandgap(eV),SMILES
29,PCVTTTT,0.2,0.5,0.761,0.432,8.2,4.3 ,1.90 ,1003,5.4,2.96,2.0,C/C=C/C1=CC(N(C2=CC=C(OCCCCCCCC)C=C2)C3=C4C=CC(/C=C/C5=C(CCCCCCCC)C=C(C6=CC=C(C7=CC=C(C8=CC(CCCCCCCC)=C(C)S8)S7)S6)S5)=C3)=C4C=C1
30,PCPTDO,0.8,0.8,1.558,0.546,4.3,3.3 ,1.30 ,1061,5.5,3.5,1.7,C/C=C/C1=CC(N(C2=CC=C(OCCCCCCCC)C=C2)C3=C4C=CC(/C=C/C5=CC=C(C6=CC=C(C7=C(CCCCCC)C(CCCCCC)=C(C8=CC=C(C9=CC=C(C)S9)S8)S7(=O)=O)S6)S5)=C3)=C4C=C1
31,PCDTBT,6.1,0.88,10.6,0.66,54.0,36.0 ,1.50 ,731,5.5,3.6,1.88,CC1=CC(N(C(CCCCCCCC)CCCCCCCC)C2=C3C=CC(C4=CC=C(C5=CC=C(C6=CC=C(C)S6)C7=NSN=C75)S4)=C2)=C3C=C1
32,PCDTQx,1.8,0.95,3.0,0.56,13.8,9.0 ,1.53 ,715,5.46,3.42,2.02,CC1=CC(N(C(CCCCCCCC)CCCCCCCC)C2=C3C=CC(C4=CC=C(C5=CC=C(C6=CC=C(C)S6)C7=NON=C75)S4)=C2)=C3C=C1
34,PCDTPT,0.7,0.71,2.9,0.32,6.2,4.0 ,1.54 ,732,5.53,3.8,1.75,CC1=CC(N(C(CCCCCCCC)CCCCCCCC)C2=C3C=CC(C4=CC=C(C5=CN=C(C6=CC=C(C)S6)C7=NSN=C75)S4)=C2)=C3C=C1
35,PCDTBX,2.4,,3.7,0.6,51.2,26.0 ,1.97 ,725,5.47,3.65,1.87,CC1=CC(N(C(CCCCCCCC)CCCCCCCC)C2=C3C=CC(C4=CC=C(C5=CC=C(C6=CC=C(C)S6)C7=NC=CN=C75)S4)=C2)=C3C=C1
36,PCDTPX,0.8,0.85,1.4,0.6,6.0,4.5 ,1.33 ,716,5.55,3.93,1.67,CC1=CC(N(C(CCCCCCCC)CCCCCCCC)C2=C3C=CC(C4=CC=C(C5=CN=C(C6=CC=C(C)S6)C7=NON=C75)S4)=C2)=C3C=C1
37,P1,0.47,0.82,1.52,0.38,9.5,4.8 ,1.90 ,717,5.7,4.15,1.57,CC1=CC(N(C(CCCCCCCC)CCCCCCCC)C2=C3C=CC(C4=CC=C(C5=NN=C(C6=CC=C(C)S6)C7=NON=C75)S4)=C2)=C3C=C1
38,P2,0.13,0.66,0.55,0.35,8.9,3.5 ,2.50 ,727,5.73,3.88,1.91,CC1=CC(N(C(CCCCCCCC)CCCCCCCC)C2=C3C=CC(C4=CC=C(C5=NN=C(C6=CC=C(C)S6)C7=NC=CN=C75)S4)=C2)=C3C=C1
39,P3,0.37,0.91,0.86,0.44,8.1,4.4 ,1.80 ,952,5.76,3.99,1.79,CC1=CC(N(C(CCCCCCCC)CCCCCCCC)C2=C3C=CC(C4=CC=C(C5=NN=C(C6=CC=C(C)S6)C7=NC(CCCCCCCC)=C(CCCCCCCC)N=C75)S4)=C2)=C3C=C1
40,PC-DTBT,3.05,0.8,7.66,0.5,24.8,16.5 ,1.50 ,787,5.48,3.46,1.72,CC1=CC(N(C(CCCCCCCCCC)CCCCCCCCCC)C2=C3C=CC(C4=CC=C(C5=CC=C(C6=CC=C(C)S6)C7=NSN=C75)S4)=C2)=C3C=C1
41,TP3,1.02,0.56,4.41,0.41,10.6,6.6 ,1.60 ,815,5.24,3.45,1.57,CC1=CC(N(C(CCCCCCCCCC)CCCCCCCCCC)C2=C3C=CC(C4=CC=C(C5=C6C(N=C(C)C(C)=N6)=C(C7=CC=C(C)S7)S5)S4)=C2)=C3C=C1
42,TP4,0.9,0.62,3.94,0.37,14.0,7.8 ,1.80 ,939,5.23,3.55,1.46,CC1=CC(N(C(CCCCCCCCCC)CCCCCCCCCC)C2=C3C=CC(C4=CC=C(C5=C6C(N=C(C7=CC=CC=C7)C(C8=CC=CC=C8)=N6)=C(C9=CC=C(C)S9)S5)S4)=C2)=C3C=C1
43,PF-DTBT,2.67,1.02,5.12,0.51,15.8,11.3 ,1.40 ,716,5.56,3.47,1.85,CC1=CC=C(C2=CC=C(C3=CC=C(C4=CC=C(C5=CC=C(C)S5)C6=NSN=C64)S3)C=C2C7(CC(CC)CCCC)CC(CC)CCCC)C7=C1
44,TP1,1.37,0.6,3.97,0.57,5.7,4.2 ,1.40 ,744,5.26,3.45,1.61,CC1=CC=C(C2=CC=C(C3=CC=C(C4=C(N=C(C)C(C)=N5)C5=C(C6=CC=C(C)S6)S4)S3)C=C2C7(CC(CC)CCCC)CC(CC)CCCC)C7=C1
47,TP5,0.84,0.68,2.55,0.49,20.9,12.3 ,1.70 ,1199,5.3,3.47,1.65,CC1=CC=C(C2=CC(N(C(CCCCCCCCCC)CCCCCCCCCC)C3=CC(C4=CC=C(C5=C(N=C(C)C(C)=N6)C6=C(C7=CC=C(C)S7)S5)S4)=CC=C38)=C8C=C2N9C(CCCCCCCCCC)CCCCCCCCCC)C9=C1
48,TP6,1.27,0.7,3.94,0.46,26.4,14.4 ,1.80 ,1323,5.32,3.59,1.51,CC1=CC=C(C2=CC(N(C(CCCCCCCCCC)CCCCCCCCCC)C3=CC(C4=CC=C(C5=C(N=C(C6=CC=CC=C6)C(C7=CC=CC=C7)=N8)C8=C(C9=CC=C(C)S9)S5)S4)=CC=C3%10)=C%10C=C2N%11C(CCCCCCCCCC)CCCCCCCCCC)C%11=C1
49,P3,0.61,0.41,5.16,0.29,5.1,3.3 ,1.55 ,1309,4.8,3.7,1.1,CC1=CC(N(C2=CC=C(N(C3=CC=C(OCC(CCCCCC)CCCC)C=C3)C4=CC=C(OCC(CCCCCC)CCCC)C=C4)C=C2)C5=C6C=CC(C7=CC=C(C8=C(N=C(C9=CC=CC=C9)C(C%10=CC=CC=C%10)=N%11)C%11=C(C%12=CC=C(C)S%12)C%13=NSN=C%138)S7)=C5)=C6C=C1
50,PDPP3T,4.7,0.65,11.8,0.6,170.1,54.0 ,3.15 ,859,5.17,3.61,1.3,O=C1N(CC(CCCCCC)CCCCCCCC)C(C2=CC=C(C)S2)=C3C1=C(C4=CC=C(C5=CC=C(C)S5)S4)N(CC(CCCCCCCC)CCCCCC)C3=O
52,PCBTDPP,3.8,0.77,9.1,0.55,56.7,27.0 ,2.10 ,1068,5.4,3.9,1.58,O=C1N(CCCCCCCCCC)C(C2=CC=C(C)S2)=C3C1=C(C4=CC=C(C(C=C5)=CC6=C5C7=CC=C(C)C=C7N6C(CCCCCCCCCC)CCCCCCCCCC)S4)N(CCCCCCCCCC)C3=O
54,PGFDTDPP (C8),1.2,0.76,2.8,0.56,49.0,14.0 ,3.50 ,1003,5.38,3.64,1.64,CC1=CC([Ge](CCCCCCCC)(CCCCCCCC)C2=C3C=CC(C4=CC=C(C(N(CCCCCCCC)C5=O)=C6C5=C(C7=CC=C(C)S7)N(CCCCCCCC)C6=O)S4)=C2)=C3C=C1
55,PGFDTBT,2.8,0.79,6.9,0.51,24.0,10.0 ,2.40 ,778,5.38,3.91,1.79,CC1=CC([Ge](CCCCCCCC)(CCCCCCCC)C2=C3C=C(C4=CC=C(C5=CC=C(C6=CC=C(C)S6)C7=NSN=C75)S4)C=C2)=C3C=C1
57,PF-DTDPP,0.88,0.74,2.51,0.47,27.1,15.3 ,1.77 ,941,5.35,3.66,1.75,O=C1N(CCCCCCCC)C(C2=CC=C(C)S2)=C3C1=C(C4=CC=C(C5=CC=C6C(C(CCCCCCCC)(CCCCCCCC)C7=C6C=CC(C)=C7)=C5)S4)N(CCCCCCCC)C3=O
59,PDTP-DTDPP(Bu),2.71,0.38,14.87,0.48,38.6,18.9 ,2.04 ,855,4.9,3.63,1.13,O=C1N(CCCC)C(C2=CC=C(C)S2)=C3C1=C(C4=CC=C(C5=CC(N(C(C[C@@H](CCCC)CC)CC(CCCC)CC)C6=C7SC(C)=C6)=C7S5)S4)N(CCCC)C3=O
62,PDPP-BDP,4.31,0.68,10.1,0.627,47.7,22.7 ,2.10 ,965,5.21,3.63,1.34,O=C1N(CC(CC)CCCC)C(C2=CC=C(C)S2)=C3C1=C(C4=CC=C(C5=CC(C(C(CCCCC)CC)=C(C(CCCCC)CC)C6=C7SC(C)=C6)=C7S5)S4)N(CC(CCCC)CC)C3=O
63,P4TDPP,2.43,0.65,8.05,0.46,19.3,10.1 ,1.91 ,1104,5.17,3.62,1.29,O=C1N(CC(CC)CCCC)C(C2=CC=C(C)S2)=C3C1=C(C4=CC=C(C5=C(C6=CC=C(C[C@H](CCCC)CC)S6)C=C(C7=CC(C8=CC=C(C[C@@H](CCCC)CC)S8)=C(C)S7)S5)S4)N(CC(CCCC)CC)C3=O
64,P4TBT,1.39,0.9,4.71,0.33,19.7,12.5 ,1.57 ,716,5.52,3.24,1.88,CC1=CC=C(C2=C(C3=CC=C(C[C@H](CCCC)CC)S3)C=C(C4=CC(C5=CC=C(CC(CCCC)CC)S5)=C(C)S4)S2)C6=NSN=C16
65,P4TDTBT,1.28,0.57,6.28,0.36,26.2,10.6 ,2.46 ,880,5.04,3.38,1.6,CC[C@@H](CCCC)CC(S1)=CC=C1C2=C(C(S3)=CC=C3C4=CC=C(C5=CC=C(C)S5)C6=NSN=C64)SC(C7=CC(C8=CC=C(CC(CCCC)CC)S8)=C(C)S7)=C2
66,P4TPDTQ,1.29,0.69,5.39,0.35,26.6,13.2 ,2.02 ,1283,5.28,3.22,1.83,CC[C@@H](CCCC)CC(S1)=CC=C1C2=C(C(S3)=CC=C3C4=CC=C(C5=CC=C(C)S5)C6=C4N=C(C7=CC=C(OCC(CC)CCCC)C=C7)C(C8=CC=C(OCC(CCCC)CC)C=C8)=N6)SC(C9=CC(C%10=CC=C(CC(CCCC)CC)S%10)=C(C)S9)=C2
66,P4TPDTQ,1.29,0.69,5.39,0.35,26.6,13.2 ,2.02 ,1283,5.28,3.22,1.83,CC[C@@H](CCCC)CC(S1)=CC=C1C2=C(C(S3)=CC=C3C4=CC=C(C5=CC=C(C)S5)C6=C4N=C(C7=CC=C(OCC(CC)CCCC)C=C7)C(C8=CC=C(OCC(CCCC)CC)C=C8)=N6)SC(C9=CC(C%10=CC=C(CC(CCCC)CC)S%10)=C(C)S9)=C2
67,PCTDPP,2.27,0.47,10.87,0.45,38.2,18.0 ,2.12 ,953,4.95,3.31,1.31,O=C1N(CC(CC)CCCC)C(C2=CC=C(C)S2)=C3C1=C(C4=CC=C(C5=CC(C(CCCCCCCC)(CCCCCCCC)C6=C7SC(C)=C6)=C7S5)S4)N(CC(CCCC)CC)C3=O
68,PTB1,5.6,0.56,15.6,0.63,22.9,18.3 ,1.20 ,824,4.9,3.2,1.58,CC1=CC2=C(C(OCCCCCCCC)=C(C=C(C3=C4C(C=C(C(OCCCCCCCCCCCC)=O)S4)=C(C)S3)S5)C5=C2OCCCCCCCC)S1
69,PBDTTT-C,6.58,0.7,14.7,0.64,30.0,16.7 ,1.80 ,738,5.12,3.55,1.61,CC1=CC2=C(C(OCC(CCCC)CC)=C(C=C(C3=C4C(SC(C(C(CC)CCCC)=O)=C4)=C(C)S3)S5)C5=C2OCC(CC)CCCC)S1
70,PDTT,3.64,0.68,9.85,0.54,128.5,35.7 ,3.60 ,1089,5.15,2.95,1.59,CC(S1)=CC2=C1C3=C(C(OCC(CCCCCC)CCCCCCCC)=C(C4=C(C=C(C5=C6C(SC(C(CC(CC)CCCC)=O)=C6)=C(C)S5)S4)S7)C7=C3OCC(CCCCCCCC)CCCCCC)S2
71,PBDTDPT1,3.42,0.93,6.58,0.56,157.5,43.5 ,3.62 ,1022,5.42,3.6,1.84,CC(S1)=CC2=C1C(OCCCCCCCCCCCC)=C(C=C(C3=C4C(C(N(CC(C#CC#CC#CC#CC#C)CCCCCCCC)C4=O)=O)=C(C)S3)S5)C5=C2OCCCCCCCCCCCC.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH]
73,P1,1.44,0.41,7.39,0.48,89.6,32.0 ,2.80 ,882,4.85,3.35,1.5,CC1=C2C(C(N(CCCCCCCCCCCC)C2=O)=O)=C(C3=C(OCCCCCCCCCCCC)C=C(C4=CC(OCCCCCCCCCCCC)=C(C)S4)S3)S1
74,P2,0.57,0.59,1.59,0.54,110.0,55.0 ,2.00 ,882,5.05,3.53,1.5,CC1=C2C(C(N(CC(CCCCCC)CCCC)C2=O)=O)=C(C3=C(OCCCCCCCCCCCC)C=C(C4=CC(OCCCCCCCCCCCC)=C(C)S4)S3)S1
75,P3,3.06,0.76,8.12,0.5,300.8,64.0 ,4.70 ,749,5.26,3.59,1.67,CC1=C2C(C(N(CCCCCCCCCCCC)C2=O)=O)=C(C3=CC(C(CCCCCCCC)(CCCCCCCC)C4=C5SC(C)=C4)=C5S3)S1
76,PDTSTPD,7.3,0.88,12.2,0.68,44.8,28.0 ,1.60 ,709,5.57,3.88,1.69,CC1=C2C(C(N(CCCCCCCC)C2=O)=O)=C(C3=CC([Si](CC(CCCC)CC)(CC(CCCC)CC)C4=C5SC(C)=C4)=C5S3)S1
77,H3,0.25,0.56,1.16,0.38,147.6,67.1 ,2.20 ,612,5.07,3.04,2.03,CC(S1)=CC2=C1C(OCCCCCCCCCCCC)=C(C=C(/C=C/C)S3)C3=C2OCCCCCCCCCCCC
78,H6,1.6,0.75,3.78,0.56,84.1,46.7 ,1.80 ,668,5.05,2.99,2.06,CC(S1)=CC2=C1C(OCCCCCCCCCCCC)=C(C=C(C3=CC=C(C)S3)S4)C4=C2OCCCCCCCCCCCC
79,H8,0.36,0.37,2.46,0.4,55.3,29.1 ,1.90 ,726,4.56,2.59,1.97,CC(S1)=CC2=C1C(OCCCCCCCCCCCC)=C(C=C(C3=C4C(OCCO4)=C(C)S3)S5)C5=C2OCCCCCCCCCCCC
81,H7,0.9,0.68,2.97,0.44,31.5,18.5 ,1.70 ,720,5.1,3.4,1.7,CC(S1)=CC2=C1C(OCCCCCCCCCCCC)=C(C=C(C3=CC=C(C)C4=NSN=C43)S5)C5=C2OCCCCCCCCCCCC
82,H9,0.11,0.22,1.41,0.35,76.1,34.6 ,2.20 ,720,4.65,3.6,1.05,CC(S1)=CC2=C1C(OCCCCCCCCCCCC)=C(C=C(C3=C4C(N=CC=N4)=C(C)S3)S5)C5=C2OCCCCCCCCCCCC
84,PBDT-BT,9.15,0.92,15.4,0.64,468.0,112.0 ,4.20 ,908,5.45,3.7,1.75,CC(S1)=CC2=C1C(C3=CC(CCCCCC)=C(CC(CC)CCCC)S3)=C(C=C(C4=CC=C(C)C5=NSN=C54)S6)C6=C2C7=CC(CCCCCC)=C(CC(CCCC)CC)S7
86,PBDTBDD,6.67,0.86,10.68,0.723,13.6,11.5 ,1.18 ,1212,5.23,3.43,1.8,CC(S1)=CC2=C1C(C3=CC=C(CC(CC)CCCC)S3)=C(C=C(C4=CC=C(C5=C(C(C6=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C6C7=O)=O)C7=C(C8=CC=C(C)S8)S5)S4)S9)C9=C2C%10=CC=C(CC(CCCC)CC)S%10
87,PBQ-4,8.55,0.9,13.58,0.702,54.5,22.7 ,2.40 ,1379,5.05,3.3,1.73,CC(S1)=CC2=C1C(C3=CC(F)=C(CC(CC)CCCC)S3)=C(C=C(C4=CC=C(C5=C(F)C(F)=C(C6=CC=C(C)S6)C7=C5N=C(C8=CC=C(OCCCCCCCC)C=C8)C(C9=CC=C(OCCCCCCCC)C=C9)=N7)S4)S%10)C%10=C2C%11=CC(F)=C(CC(CCCC)CC)S%11
89,PBQ-2,6.25,0.76,13.05,0.633,23.2,10.2 ,2.27 ,1343,4.86,3.15,1.66,CC(S1)=CC2=C1C(C3=CC(F)=C(CC(CC)CCCC)S3)=C(C=C(C4=CC=C(C5=CC=C(C6=CC=C(C)S6)C7=C5N=C(C8=CC=C(OCCCCCCCC)C=C8)C(C9=CC=C(OCCCCCCCC)C=C9)=N7)S4)S%10)C%10=C2C%11=CC(F)=C(CC(CCCC)CC)S%11
91,PBDTTT-S-T,5.93,0.81,12.27,0.62,684.0,108.6 ,6.30 ,1032,5.29,3.68,1.61,CC(S1)=CC2=C1C(C3=CC=C(CC(CCCC)CC)S3)=C(C=C(C4=C5C(C=C(S(=O)(CC(CCCCCC)CCCCCCCC)=O)S5)=C(C)S4)S6)C6=C2C7=CC=C(CC(CCCC)CC)S7
92,PDT-S-T,7.79,0.73,16.63,0.641,114.0,22.4 ,5.10 ,1144,5.21,3.68,1.59,CC1=C(C=C(S(=O)(CC(CCCCCC)CCCCCCCC)=O)S2)C2=C(C3=CC4=C(S3)C5=C(C6=CC=C(C[C@H](CCCC)CC)S6)C7=C(C(SC(C)=C8)=C8S7)C(C9=CC=C(C[C@@H](CCCC)CC)S9)=C5S4)S1
93,PBDTDTTT-S-T,7.48,0.69,16.35,0.663,125.0,35.7 ,3.50 ,1196,5.04,3.68,1.59,CC(S1)=CC2=C1C(C3=CC=C(C[C@H](CCCC)CC)S3)=C(C=C(C4=CC=C(C5=C6C(C=C(S(=O)(CC(CCCCCC)CCCCCCCC)=O)S6)=C(C7=CC=C(C)S7)S5)S4)S8)C8=C2C9=CC=C(C[C@@H](CCCC)CC)S9
94,PBDTBT,1.71,0.76,5.32,0.423,201.3,54.4 ,3.70 ,833,5.22,3.68,1.67,CC(S1)=CC2=C1C(OCC(CCCCCCCC)CCCCCC)=C(C=C(C3=CC=C(C)C4=NSN=C43)S5)C5=C2OCC(CCCCCCCC)CCCCCC
95,PBDTDTBT,7.4,0.79,13.56,0.691,353.5,82.2 ,4.30 ,996,5.24,3.68,1.72,CC(S1)=CC2=C1C(OCC(CC)CCCC)=C(C=C(C3=C(CC(CC)CCCC)C=C(C4=CC=C(C5=CC(CC(CC)CCCC)=C(C)S5)C6=NSN=C64)S3)S7)C7=C2OCC(CC)CCCC
96,PBDPP-1,2.83,0.69,6.5,0.63,100.0,40.0 ,2.50 ,1221,5.29,3.84,1.45,CC(S1)=CC2=C1C(OC[C@H](CCCC)CC)=C(C=C(C3=CC=C(C(N(CC(CCCCCC)CCCCCCCC)C4=O)=C5C4=C(C6=CC=C(C)S6)N(CC(CCCCCC)CCCCCCCC)C5=O)S3)S7)C7=C2OC[C@H](CCCC)CC
97,PBDPP-2,4.23,0.73,8.42,0.68,60.8,32.0 ,1.90 ,1353,5.29,3.84,1.45,CC(S1)=CC2=C1C(C3=CC=C(C[C@H](CCCC)CC)S3)=C(C=C(C4=CC=C(C(N(CC(CCCCCC)CCCCCCCC)C5=O)=C6C5=C(C7=CC=C(C)S7)N(CC(CCCCCC)CCCCCCCC)C6=O)S4)S8)C8=C2C9=CC=C(C[C@H](CCCC)CC)S9
97,PBDPP-2,4.23,0.73,8.42,0.68,60.8,32.0 ,1.90 ,1353,5.29,3.84,1.45,CC(S1)=CC2=C1C(C3=CC=C(C[C@H](CCCC)CC)S3)=C(C=C(C4=CC=C(C(N(CC(CCCCCC)CCCCCCCC)C5=O)=C6C5=C(C7=CC=C(C)S7)N(CC(CCCCCC)CCCCCCCC)C6=O)S4)S8)C8=C2C9=CC=C(C[C@H](CCCC)CC)S9
